loyalty_class_code,rule_type,level,zone_codes,region_codes,depo_codes
C - 3.000%,allow,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
E - 2.500%,allow,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
H - 2.000%,allow,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
S - 4.500%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
A+ - 4.250%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
A - 4.000%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
B+ - 3.875%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
B - 3.750%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
C+ - 3.650%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
C - 3.500%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
D - 3.375%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
E - 3.250%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
F - 2.750%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
G - 2.750%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
H - 2.750%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
I - 2.750%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
J - 1.500%,deny,depo,null,null,"""1000559,1000690,1000929,1000950,1001003"""
